item key,name,description,price,bottle image url,label type,closure type,country,region,origin,wine type,varietal,vintage,point score,story,user rating,sale price,original url,tasting notes,winc product id,winc product code,wine product id
winc12387,2018 Porter & Plot® Pinot Noir,"Porter & Plot showcases California's most exceptional wines, like this dry-farmed Pinot Noir from the Sonoma Coast.",41.99,https://d207gb2bfvg73.cloudfront.net/07191623/hero@2x.jpg,MI,CO,United States,Sonoma,"Sonoma, California",R,Pinot Noir,2018,,"By focusing on small-lot wines, Porter & Plot highlights the unique, nuanced individuality of California's most exceptional vineyards and appellations. For Pinot Noir, cool climate is key, and the Sonoma Coast is renowned as the perfect environment for this finicky grape to thrive. An excellent Pinot Noir is a winemaker’s pièce de résistance, the one style that can definitively prove a masterful level of skill and knowledge. This wine was fermented native, which means no yeast was added to start the fermentation. The finished wine shows a great balance of fruit and spice, demonstrating the unique terroir of the dry farmed, organic vineyard where it was grown.",4.3,34.99,,,12387,7191623,
winc12366,2017 Yé-Yé Tempranillo,"Our New World take on classic Spanish winemaking, this complex Tempranillo comes straight from España.",14.99,https://d207gb2bfvg73.cloudfront.net/06191603/hero@2x.jpg,MI,SC,Spain,Vino de Espana,"Vino de Espana, Spain",R,Tempranillo,2017,,"Originally a popular style of music in early 1960s Europe, “yé-yé” has evolved to mean having optimism and enthusiasm for current trends — and that’s translated into our interpretation of the exciting modernization of Spanish winemaking. Thanks to the worldwide surge of interest in Spanish wine, the nation’s industry has transformed into one in which vintners utilize old and new techniques alongside each other to produce truly exceptional bottlings. This Tempranillo is sourced from high-elevation vineyards that are organically farmed. The wide swing in temperatures from day to night provides grapes that have great quality and ripe tannins. This wine leads with bright, red fruit that’s balanced with savory herb and a touch of oak.",3.9,12.99,,,12366,6191603,
winc12343,2017 Baseline® Syrah,This cool-climate Syrah from winemaker Ryan Zotovich has savory notes of dark fruit and herbs.,47.99,https://d207gb2bfvg73.cloudfront.net/15882073/hero@2x.jpg,MI,CO,United States,Santa Barbara County,"Santa Barbara County, California",R,Syrah,2017,,"Winc winemaker Ryan Zotovich practices respectful winemaking, making what he believes are the most important decisions before harvesting fruit. This allows for exceptional quality of grapes, and minimal intervention in the winery. This small lot, single-vineyard Syrah comes from the John Sebastiano vineyard, one of the most respected on the central coast. With its many hills and varying aspects, this vineyard has a variety of microclimates and its windy location helps to naturally limit yields. It’s located in the cool climate region of Santa Barbara County, where the morning maritime fog and afternoon Pacific breeze create an ideal situation for viticulture. This wine looks to the Northern Rhône for its stylistic inspiration, with a focus on fruit, spice and structure. With 10% Viognier interspersed throughout the block (another Rhône-ish touch), the grapes are fermented whole berry with native yeasts and aged in neutral French oak for 18 months, it’s complex, dark, slightly meaty, and perfectly ageworthy.",,39.99,,,12343,15882073,
winc12313,2018 Brethren of the Road® Riesling,"A light, dry California Riesling with bright fruit balanced by pronounced minerality.",15.99,https://d207gb2bfvg73.cloudfront.net/02191550/hero@2x.jpg,WH,CO,United States,Monterey,"Monterey, California",W,Riesling,2018,,"Kenny Likitprakong, the winemaking partner who created our Brethren of the Road brand, is a wanderlust-driven, self-professed “hobo winemaker” whose stint in France sparked his allegiance to minimalist, non-interventionist methods. This dry, bright Riesling is no exception. Though Riesling is often thought of as a sweet wine, exciting versions of dry Riesling are popping up from a variety of winemaking regions – like this example from Monterey. Without the sugar to soften the fruit, this wine shows racy acid and bright minerality – bracing is an excellent descriptor. Fermented in stainless steel with only native yeast, it's a lean, zesty white with notes of citrus, stone, and yellow fruits.",3.5,13.99,,,12313,2191550,
winc12296,2017 L'Atelier du Sud® Red Blend,"Evoking the charming beauty of the French countryside, this red blend is elegant, lush, and easy drinking.",15.99,https://d207gb2bfvg73.cloudfront.net/12181533/hero@2x.jpg,TR,CO,France,Costières de Nîmes,"Costières de Nîmes, France",R,Red Blend,2017,,"Turn to this rustic blend of Grenache and Syrah from the South of France when you’re looking for a textured, complex wine that’s also a crowd pleaser. Certified organic farming with particular attention to soil health and vineyard floor management makes for a bottle that is both eco-friendly and delicious. Notes of tart red berries, forest floor, and thyme shine through, complemented by soft tannins on the finish.",3.9,13.99,,,12296,12181533,
winc12282,2018 Alma Libre® Pinot Noir,A cool climate Pinot Noir from Chile with notes of red fruits and fresh herbs.,14.99,https://d207gb2bfvg73.cloudfront.net/10181506/hero@2x.jpg,WH,CO,Chile,Aconcagua,"Aconcagua, Chile",R,Pinot Noir,2018,,"Pinot Noir is a high maintenance grape, so it needs just the right soil and climate to thrive. The cool, coastal area of Aconcagua in the Casablanca Valley is without a doubt one of the most interesting regions for Pinot Noir in the Southern Hemisphere. The old, granitic soils here create a unique expression of the grape. For this wine, the grapes were hand picked, given a cold soak for color and aromatic extraction, and fermented cold. Careful attention to detail throughout the whole process produces a Pinot Noir that is delicate and full of interesting flavors.",3.7,12.99,,,12282,10181506,
winc12271,2017 TBT White Wine Blend,"This tropical, six-grape white blend is as playful as the friends you share shenanigans with.",14.99,https://d207gb2bfvg73.cloudfront.net/08171493/hero@2x.jpg,WH,SC,United States,,California,W,White Blend,2017,,"When friends come over for an impromptu Thursday night get-together, you’d better open the picture-perfect bottle of wine, because it’s going to end up commemorated on social media. The 2017 #TBT® White Blend, is ready for its close-up as a casual, food-friendly wine whose personality is as lively as your crew. We selected six aromatic grapes — Viognier, Sauvignon Blanc, Malvasia Bianca, Riesling, Grenache Blanc, Chenin Blanc — then aged them in stainless steel to preserve a bright finish. Brimming with ripe and floral flavors on your palate, its unmistakable pizzazz follows through to the end. This playful blend ensures there’s a smile on your face when you break out the phones and start snapping selfies. Our #TBT® lets you unwind and be yourself…and you can prove it to us by posting your favorite old-school memories on Instagram using #WincTBT.",3.5,12.99,,,12271,8171493,
winc10963,2013 Laughing Owl Chardonnay,This is your guilty pleasure - slash - “Pour with Your Mother-in-Law” type of Chardonnay.,16.99,https://d207gb2bfvg73.cloudfront.net/1506702/hero@2x.jpg,MO,CO,United States,Santa Barbara County,"Santa Barbara County, California",W,Chardonnay,2013,,,3.6,12.99,,,10963,1506702,
winc10923,2012 Marmont Pinot Noir,An Old World style of Pinot Noir full of herbal and earthy flavors.,32.99,https://d207gb2bfvg73.cloudfront.net/1505675/hero@2x.jpg,TR,CO,United States,Edna Valley,"Edna Valley, California",R,Pinot Noir,2012,,,4.0,24.99,,,10923,1505675,
winc12256,2017 Au-Delà® Tocai Friulano,"This skin-contact Tocai Friulano is a textured, unique white.",31.99,https://d207gb2bfvg73.cloudfront.net/07181480/hero@2x.jpg,WH,CO,United States,Santa Barbara County,"Santa Barbara County, California",W,Tocai Friulano,2017,,"Au-Delà goes beyond typical winemaking practices, into uncommon territory. This Tocai Friulano, a grape usually found in Italy, was made in the skin contact style - the way red wines are typically made. Fermented for two weeks, the wine then remained on its skins for sixty days - a long time for any wine, and white wine especially. After pressing, it was aged for six months in neutral oak, and the result is a complex, robust white that has a significant amount of structure, while still maintaining brightness and drinkability.",3.6,26.99,,,12256,7181480,
winc12241,2017 Field Theory Aglianico,"This bold, native-fermented Aglianico has notes of dark fruit and pepper.",33.99,https://d207gb2bfvg73.cloudfront.net/06181468/hero@2x.jpg,MI,CO,United States,Paso Robles,"Paso Robles, California",R,Aglianico,2017,,"Curious varietals from unfamiliar places represent some of the most exciting wines crafted in California. Such hard-to-find vineyards and rare varietals --like Aglianico from Paso Robles – are quintessential examples of what Field Theory showcases. Hand picked from Pomar Junction Vineyard, the late ripening Aglianico grapes were crushed, destemmed and fermented with only native yeast. The cap was punched down daily during the peak of fermentation, and after pressing the wine was aged in neutral french oak for nine months. A culmination of power and finesse, this Aglianico is highly structured, but ready to be enjoyed.",3.6,28.99,,,12241,6181468,
winc12212,2017 Diviner® Sauvignon Blanc,A diviner sees the future and makes it true; find the true nature of Sauvignon Blanc in this Santa Ynez Valley bottling.,18.99,https://d207gb2bfvg73.cloudfront.net/04181441/hero@2x.jpg,WH,CO,United States,Santa Barbara County,"Santa Barbara County, California",W,Sauvignon Blanc,2017,,"A vision of what’s to come, Diviner seeks out emerging Bordeaux varietals from Santa Barbara County. Sourced from a single vineyard in the Santa Ynez Valley, the grapes are grown in a climate with a strong maritime influence and are picked early to maintain their freshness and acidity. The result is this crisp and lean Sauvignon Blanc that has bright green fruit notes and a refreshing minerality.",3.9,16.99,,,12212,4181441,
winc12199,2017 Pacificana® Chardonnay,"Our version of iconic California Chardonnay with aromas of butterscotch, candied lemon, and vanilla.",15.99,https://d207gb2bfvg73.cloudfront.net/03181428/hero@2x.jpg,MO,CO,United States,,California,W,Chardonnay,2017,,"Pacificana showcases classic California styles for a new generation of wine enthusiasts. It embodies the bold, pioneering spirit of the California landscape and those who call it home. 100% barrel fermented, this 2017 Chardonnay strikes the perfect balance between oaky, buttery richness and fruity elegance.

A happy planet produces great wine. That's why we teamed up with 1% for the Planet — an international organization that supports a network of eco-conscious businesses committed to donating one percent of their sales toward environmental causes. As a member, 1% of all our Pacificana® sales go toward benefiting and preserving the environment.",3.6,13.99,,,12199,3181428,
winc12198,2017 Funk Zone® Rosé,"A light, fruity rosé from Santa Barbara County that’s a sure-fire winner for your next get-together.",17.99,https://d207gb2bfvg73.cloudfront.net/03181427/hero@2x.jpg,WH,CO,United States,Santa Barbara County,"Santa Barbara County, California",Ro,Rosé,2017,,"Funk Zone embodies the experimental spirit of Santa Barbara County winemaking with unique vinous interpretations of the grapes that grow throughout this diverse region. The 2017 vintage leads with notes of strawberry, watermelon, and pink flowers, while refreshing acidity ensures a pleasantly dry finish. This quaffable crowd-pleaser will be the hit of the summer – be sure to share with your friends!",3.8,15.99,,,12198,3181427,
winc12186,2017 Brethren of the Road® Gewürztraminer,"A California-fresh spin on the unique Gewürztraminer grape, this 2017 vintage has notes of peach and white flowers.",17.99,https://d207gb2bfvg73.cloudfront.net/17011414/hero@2x.jpg,WH,CO,United States,Monterey,"Monterey, California",W,Gewürztraminer,2017,,"Kenny Likitprakong, the winemaking partner who created our Brethren of the Road brand, is a wanderlust-driven, self-professed “hobo winemaker” whose stint in France sparked his allegiance to minimalist, non-interventionist methods. This aromatic Gewürztraminer is no exception. Originally from Italy (not Germany, surprisingly), these grapes were sourced from the cool climate of Monterey and fermented in stainless steel to achieve a clean, pure, early-drinking wine. Soft and light on the palate, it’s a dry wine with a tinge of sweetness - notes of honeysuckle, lemon curd, and stone fruit are balanced with vibrant minerality and a little spice.",3.8,15.99,,,12186,17011414,
winc12165,2015 Idée Fixe® Red Blend,Côtes du Rhone is home to some of the most interesting red blends in the world.,15.99,https://d207gb2bfvg73.cloudfront.net/17111388/hero@2x.jpg,WH,CO,France,Côtes du Rhône,"Côtes du Rhône, France",R,Red Blend,2015,,"The Rhone Valley in France produces blends from some of the most interesting red grape varieties, such as Grenache, Syrah, Carignane and Mourvedre. These wines are known for being great value wines, as well as approachable and food-friendly. This particular cuvée is predominantly Grenache with 15% Syrah, fermented and aged in concrete. The old vines and clay soils from which this wine was born helps to produce a complex wine, that pleases both the sommelier and the wine novice alike.",3.9,13.99,,,12165,17111388,
winc12151,2017 Alma Libre® Sauvignon Blanc,From Chile's cool Casablanca Valley comes this fruity and delicious Sauvignon Blanc.,14.99,https://d207gb2bfvg73.cloudfront.net/17101374/hero@2x.jpg,WH,CO,Chile,Casablanca,"Casablanca, Chile",W,Sauvignon Blanc,2017,,"Calling all Sauvignon Blanc lovers! We’re excited to be adding Chilean Sauvignon Blanc to the Winc portfolio. It’s truly unique, not quite like domestic Sauvignon Blanc or New Zealand Sauvignon Blanc, but rather an exotic style that is just as likable. This particular rendition from the Casablanca Valley boasts a variety of generous tropical flavors. The region’s cool climate and granitic soils foster a lean, dry style like this one, along with fermentation in stainless steel. One month of battonage (or lees stirring) in tank add some extra texture and body to the wine. This is a classic representation of the grape from this exciting, new-world winemaking region. Salud!",4.0,12.99,,,12151,17101374,
